"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"West Virginia","54","2021","2021",1298,1782959,72.8,80.0
,"West Virginia","54","2022","2022",1194,1775156,67.3,73.4
,"West Virginia","54","2023","2023",1246,1770071,70.4,75.1
,"West Virginia","54","2024 (provisional)","2024",675,1770071,38.1,41.2
,"West Virginia","54","2025 (provisional and partial)","2025",126,1770071,7.1,7.6
"Total","West Virginia","54",,,7161,14251094,50.2,54.7
,"Wisconsin","55","2018","2018",862,5813568,14.8,15.6
,"Wisconsin","55","2019","2019",938,5822434,16.1,16.8
,"Wisconsin","55","2020","2020",1270,5832655,21.8,23.3
,"Wisconsin","55","2021","2021",1458,5895908,24.7,26.3
,"Wisconsin","55","2022","2022",1445,5892539,24.5,26.1
,"Wisconsin","55","2023","2023",1438,5910955,24.3,25.4
,"Wisconsin","55","2024 (provisional)","2024",830,5910955,14.0,14.4
,"Wisconsin","55","2025 (provisional and partial)","2025",127,5910955,2.1,2.2
"Total","Wisconsin","55",,,8368,46989969,17.8,18.7
,"Wyoming","56","2018","2018",43,577737,7.4,7.3
,"Wyoming","56","2019","2019",52,578759,9.0,9.0
,"Wyoming","56","2020","2020",66,582328,11.3,11.6
,"Wyoming","56","2021","2021",76,578803,13.1,13.4
,"Wyoming","56","2022","2022",89,581381,15.3,15.6
,"Wyoming","56","2023","2023",92,584057,15.8,16.0
,"Wyoming","56","2024 (provisional)","2024",64,584057,11.0,10.8
,"Wyoming","56","2025 (provisional and partial)","2025",14,584057,Unreliable,Unreliable
"Total","Wyoming","56",,,496,4651179,10.7,10.8
"Total",,,,,482511,2654817067,18.2,18.5
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"MCD - ICD-10 Codes: T40.0 (Opium); T40.1 (Heroin); T40.2 (Other opioids); T40.3 (Methadone); T40.4 (Other synthetic narcotics);"
"T40.6 (Other and unspecified narcotics)"
"Group By: Residence State; Year"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Sep 24, 2025 9:25:48 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2023,"
"and from provisional data for years 2024 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Sep 24, 2025"
"9:25:48 PM"
"---"
Caveats:
"1. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Unreliable."
"2. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#2000 Standard Population."
"3. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age-Adjusted Rates."
"4. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"5. The population figures for years 2023 and later are single-race estimates of the July 1 resident population, from the Vintage"
"2023 postcensal series released by the Census Bureau on June 27, 2024. The population figures for years 2022 and later are"
"single-race estimates of the July 1 resident population, from the Vintage 2022 postcensal series released by the Census Bureau"
"on June 22, 2023. The 2022 and 2023 series is based on the Modified Blended Base produced by the US Census Bureau in lieu of the"
"April 1, 2020 decennial population count. The Modified Blended Base consists of the blend of Vintage 2020 postcensal population"
"estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data from the internal Census Edited File"
"(CEF). The population figures for years 2021 are single-race estimates of the July 1 resident population, based on the Blended"
"Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count, from the Vintage 2021 postcensal"
"series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates of the"
"July 1 resident population, from the Vintage 2020 postcensal series based on April 2010 Census, released by the Census Bureau on"
"July 27, 2021. The population figures for year 2019 are single-race estimates of the July 1 resident population, from the"
"Vintage 2019 postcensal series based on April 2010 Census, released by the Census Bureau on June 25, 2020. The population"
"figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series based"
"on April 2010 Census, released by the Census Bureau on June 20, 2019. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Population Data."
"6. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
"7. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,"
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former"
"counties are not available for 2022 and later years. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Connecticut-2022."
"8. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
"9. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#ICD-10 Changes."
"10. Deaths occurring through September 13, 2025 as of September 21, 2025."
