"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Hawaii","15","2021","2021",93,1441553,6.5,6.2
,"Hawaii","15","2022","2022",108,1440196,7.5,7.4
,"Hawaii","15","2023","2023",138,1435138,9.6,9.8
,"Hawaii","15","2024 (provisional)","2024",126,1435138,8.8,8.3
,"Hawaii","15","2025 (provisional and partial)","2025",25,1435138,1.7,1.8
"Total","Hawaii","15",,,681,11430532,6.0,5.9
,"Idaho","16","2018","2018",126,1754208,7.2,7.4
,"Idaho","16","2019","2019",142,1787065,7.9,8.1
,"Idaho","16","2020","2020",162,1826913,8.9,9.0
,"Idaho","16","2021","2021",245,1900923,12.9,13.1
,"Idaho","16","2022","2022",276,1939033,14.2,15.0
,"Idaho","16","2023","2023",273,1964726,13.9,14.8
,"Idaho","16","2024 (provisional)","2024",213,1964726,10.8,11.5
,"Idaho","16","2025 (provisional and partial)","2025",55,1964726,2.8,2.9
"Total","Idaho","16",,,1492,15102320,9.9,10.3
,"Illinois","17","2018","2018",2215,12741080,17.4,17.4
,"Illinois","17","2019","2019",2281,12671821,18.0,18.0
,"Illinois","17","2020","2020",3014,12587530,23.9,23.9
,"Illinois","17","2021","2021",3103,12671469,24.5,24.0
,"Illinois","17","2022","2022",3229,12582032,25.7,25.2
,"Illinois","17","2023","2023",2948,12549689,23.5,22.9
,"Illinois","17","2024 (provisional)","2024",1916,12549689,15.3,14.8
,"Illinois","17","2025 (provisional and partial)","2025",342,12549689,2.7,2.6
"Total","Illinois","17",,,19048,100902999,18.9,18.6
,"Indiana","18","2018","2018",1142,6691878,17.1,18.0
,"Indiana","18","2019","2019",1296,6732219,19.3,20.6
,"Indiana","18","2020","2020",1960,6754953,29.0,31.2
,"Indiana","18","2021","2021",2263,6805985,33.3,35.0
,"Indiana","18","2022","2022",2120,6833037,31.0,32.7
,"Indiana","18","2023","2023",1734,6862199,25.3,26.9
,"Indiana","18","2024 (provisional)","2024",1204,6862199,17.5,18.5
